167,Universidade Vale do Rio Doce (UNIVALE),22.43
168,Universidade de Santo Amaro (UNISA),21.94
169,Universidade Metropolitana de Santos (UNIMES),21.38
170,Universidade da Integração Internacional da Lusofonia Afro-Brasileira (UNILAB),21.23
171,Universidade do Contestado (UNC),20.54
172,Universidade Cândido Mendes (UCAM),19.1
173,Universidade Estadual de Ciências da Saúde de Alagoas (UNCISAL),18.9
174,Universidade Presidente Antônio Carlos (UNIPAC),18.61
175,Universidade Estadual do Paraná (UNESPAR),18.55
176,Universidade Braz Cubas (UBC),18.21
177,Universidade de Itaúna (UI),18.17
178,Universidade Federal do Sul da Bahia (UFESBA),17.92
179,Universidade Federal do Oeste da Bahia (UFOB),17.59
180,Universidade Alto Vale do Rio do Peixe (UNIARP),17.46
181,Universidade do Vale do Sapucaí (UNIVÁS),17.32
182,Universidade Católica de Petrópolis (UCP),16.66
183,Universidade Federal do Cariri (UFCA),16.54
184,Universidade Santa Úrsula (USU),14.85
185,Universidade de Rio Verde (FESURV),14.5
186,Universidade Vale do Rio Verde (UNINCOR),12.49
187,Universidade do Planalto Catarinense (UNIPLAC),12.3
188,Universidade Ibirapuera (UNIB),12.23
189,Universidade Municipal de São Caetano do Sul (USCS),12.21
190,Universidade Federal do Sul e Sudeste do Pará (UNIFESSPA),12.05
191,Universidade Estadual de Alagoas (UNEAL),11.83
192,Universidade do Estado do Amapá (UEAP),11.8
193,Universidade Iguaçu (UNIG),9.8
194,Universidade da Região da Campanha (URCAMP),8.95
195,Universidade Estadual de Roraima (UERR),8.22
196,Universidade do Tocantins (UNITINS),3.41
