CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Presencial,-,-,150,20/09/2017,"Engenharia, produção e construção",Engenharia de computação
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,-,-,60,29/11/2012,"Engenharia, produção e construção",Engenharia de produção
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,FARMÁCIA,Bacharelado,Presencial,-,-,100,11/12/2017,Saúde e bem estar social,Farmácia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,FISIOTERAPIA,Bacharelado,Presencial,3,3,60,08/06/1998,Saúde e bem estar social,Fisioterapia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,CIÊNCIAS BIOLÓGICAS,Licenciatura,Presencial,5,3,100,16/09/1999,Educação,Formação de professor de biologia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,4,3,120,29/07/1999,Educação,Formação de professor de educação física
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,4,3,100,22/09/1999,Educação,Formação de professor de educação física
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,HISTÓRIA,Licenciatura,Presencial,4,3,40,24/09/2009,Educação,Formação de professor de história
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,LETRAS - INGLÊS,Licenciatura,Presencial,-,4,40,06/08/1998,Educação,Formação de professor de língua/literatura estrangeira moderna
,,,,,,,,,,
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,LETRAS - PORTUGUÊS,Licenciatura,Presencial,4,3,40,19/05/1988,Educação,Formação de professor de língua/literatura vernácula (português)
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,MATEMÁTICA,Licenciatura,Presencial,-,2,60,16/09/1999,Educação,Formação de professor de matemática
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,MÚSICA,Licenciatura,Presencial,5,3,60,11/05/1998,Educação,Formação de professor de música
,,,,,,,,,,
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,JORNALISMO,Bacharelado,Presencial,-,4,50,24/06/1999,"Ciências sociais, negócios e direito",Jornalismo
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,NUTRIÇÃO,Bacharelado,Presencial,3,3,60,29/06/1998,Saúde e bem estar social,Nutrição
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PEDAGOGIA,Licenciatura,Presencial,-,-,60,30/08/2017,Educação,Pedagogia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PEDAGOGIA,Licenciatura,Presencial,-,-,60,30/08/2017,Educação,Pedagogia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PEDAGOGIA,Licenciatura,Presencial,-,3,110,15/08/1973,Educação,Pedagogia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PEDAGOGIA,Licenciatura,Presencial,4,3,120,17/02/1999,Educação,Pedagogia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PEDAGOGIA,Licenciatura,Presencial,-,-,60,30/08/2017,Educação,Pedagogia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PEDAGOGIA,Licenciatura,Presencial,-,3,100,06/08/1998,Educação,Pedagogia
,,,,,,,,,,
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PSICOLOGIA,Bacharelado,Presencial,4,-,240,22/10/2018,"Ciências sociais, negócios e direito",Psicologia
